Cluster,SubclusterName,end.year,five.year.job.change,Competitive.Effect,Expected.Change,Ind.Mix.Effect,Natl.Growth.Effect,start.jobs,end.jobs
Metal Mining,Metal Mining,NA,NA,NA,NA,NA,NA,NA,NA
Metalworking Technology,Fasteners,NA,NA,NA,NA,NA,NA,NA,NA
Metalworking Technology,Hand Tools,NA,NA,NA,NA,NA,NA,NA,NA
Metalworking Technology,Machine Tools and Accessories,NA,NA,NA,NA,NA,NA,NA,NA
Metalworking Technology,Metal Processing (MT),NA,NA,NA,NA,NA,NA,NA,NA
Metalworking Technology,Metalworking Machinery,NA,NA,NA,NA,NA,NA,NA,NA
Music and Sound Recording,Music and Sound Recording,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonmetal Mining,Nonmetal Mining,NA,NA,NA,NA,NA,NA,NA,NA
Oil and Gas Production and Transportation,Drilling Wells,NA,NA,NA,NA,NA,NA,NA,NA
Oil and Gas Production and Transportation,Oil and Gas Extraction,NA,NA,NA,NA,NA,NA,NA,NA
Oil and Gas Production and Transportation,Oil and Gas Machinery,NA,NA,NA,NA,NA,NA,NA,NA
Oil and Gas Production and Transportation,Petroleum Processing,NA,NA,NA,NA,NA,NA,NA,NA
Oil and Gas Production and Transportation,Pipeline Transportation,NA,NA,NA,NA,NA,NA,NA,NA
Oil and Gas Production and Transportation,Support Activities for Oil and Gas Operations,NA,NA,NA,NA,NA,NA,NA,NA
Paper and Packaging,Packaging,NA,NA,NA,NA,NA,NA,NA,NA
Paper and Packaging,Paper Mills,NA,NA,NA,NA,NA,NA,NA,NA
Paper and Packaging,Paper Products,NA,NA,NA,NA,NA,NA,NA,NA
Performing Arts,Performing Artists,NA,NA,NA,NA,NA,NA,NA,NA
Performing Arts,Promoters and Managers,NA,NA,NA,NA,NA,NA,NA,NA
Plastics,Plastic Materials and Resins,NA,NA,NA,NA,NA,NA,NA,NA
Plastics,Plastic Products,NA,NA,NA,NA,NA,NA,NA,NA
Printing Services,Greeting Card Printing and Publishing,NA,NA,NA,NA,NA,NA,NA,NA
Printing Services,Printing Inputs,NA,NA,NA,NA,NA,NA,NA,NA
Printing Services,Printing Services,NA,NA,NA,NA,NA,NA,NA,NA
Printing Services,Support Activities for Printing,NA,NA,NA,NA,NA,NA,NA,NA
Production Technology and Heavy Machinery,Agricultural and Construction Machinery and Components,NA,NA,NA,NA,NA,NA,NA,NA
Production Technology and Heavy Machinery,Air Handling Equipment,NA,NA,NA,NA,NA,NA,NA,NA
Production Technology and Heavy Machinery,Commercial and Service Industry Machinery,NA,NA,NA,NA,NA,NA,NA,NA
